sline,eline,sstop,estop,count,slon,slat,elon,elat
10号线,10号线,交通大学,陕西南路,40,121.42952631930164,31.20372474691698,121.45564009860006,31.21922548450731
10号线,10号线,伊犁路,陕西南路,48,121.39940058732157,31.20097434412085,121.45564009860006,31.21922548450731
10号线,10号线,南京东路,陕西南路,22,121.47924428412828,31.23911535220653,121.45564009860006,31.21922548450731
2号线,10号线,南京东路,陕西南路,12,121.47924428412828,31.23911535220653,121.45564009860006,31.21922548450731
10号线,10号线,同济大学,陕西南路,29,121.50206747269928,31.284577528844896,121.45564009860006,31.21922548450731
10号线,10号线,四川北路,陕西南路,36,121.47971268041323,31.253939587029944,121.45564009860006,31.21922548450731
10号线,10号线,国权路,陕西南路,23,121.50580660602509,31.291376267954487,121.45564009860006,31.21922548450731
10号线,10号线,天潼路,陕西南路,43,121.47767315290058,31.24647455877888,121.45564009860006,31.21922548450731
10号线,10号线,宋园路,陕西南路,32,121.40731820626036,31.19832432977877,121.45564009860006,31.21922548450731
10号线,10号线,新天地,陕西南路,24,121.47075586345952,31.218294750858874,121.45564009860006,31.21922548450731
10号线,10号线,水城路,陕西南路,37,121.38754188867226,31.201298680700077,121.45564009860006,31.21922548450731
10号线,10号线,江湾体育场,陕西南路,29,121.50969205437626,31.30504889283296,121.45564009860006,31.21922548450731
10号线,10号线,海伦路,陕西南路,21,121.48422026540928,31.26129204310376,121.45564009860006,31.21922548450731
10号线,10号线,航中路,陕西南路,25,121.35034954165577,31.16735491029436,121.45564009860006,31.21922548450731
10号线,10号线,虹桥路,陕西南路,28,121.41767616931179,31.198490043241854,121.45564009860006,31.21922548450731
10号线,10号线,豫园,陕西南路,56,121.48283033758119,31.23027093044076,121.45564009860006,31.21922548450731
10号线,10号线,邮电新村,陕西南路,17,121.489822152937,31.270522310162953,121.45564009860006,31.21922548450731
10号线,10号线,龙柏新村,陕西南路,33,121.36574151569107,31.179499867783807,121.45564009860006,31.21922548450731
10号线,10号线,龙溪路,陕西南路,22,121.3755174497979,31.19627515675488,121.45564009860006,31.21922548450731
1号线,1号线,上海体育馆,陕西南路,19,121.43182335702305,31.18388290258479,121.45564009860006,31.21922548450731
4号线,1号线,上海体育馆,陕西南路,27,121.43182335702305,31.18388290258479,121.45564009860006,31.21922548450731
1号线,1号线,上海南站,陕西南路,21,121.42521918125507,31.15677611560311,121.45564009860006,31.21922548450731
3号线,1号线,上海南站,陕西南路,28,121.42521918125507,31.15677611560311,121.45564009860006,31.21922548450731
1号线,1号线,上海火车站,陕西南路,32,121.45134662497871,31.249252480810924,121.45564009860006,31.21922548450731
1号线,1号线,上海马戏城,陕西南路,33,121.44750500177919,31.28142271502295,121.45564009860006,31.21922548450731
1号线,1号线,中山北路,陕西南路,20,121.45459575307713,31.26097018742221,121.45564009860006,31.21922548450731
1号线,1号线,人民广场,陕西南路,30,121.47063544949978,31.234938109246567,121.45564009860006,31.21922548450731
8号线,1号线,人民广场,陕西南路,26,121.47063544949978,31.234938109246567,121.45564009860006,31.21922548450731
1号线,1号线,共富新村,陕西南路,22,121.4294616044448,31.356866412833142,121.45564009860006,31.21922548450731
1号线,1号线,共康路,陕西南路,32,121.4424467135747,31.320856838499626,121.45564009860006,31.21922548450731
1号线,1号线,呼兰路,陕西南路,20,121.43310747987196,31.341553447554283,121.45564009860006,31.21922548450731
1号线,1号线,外环路,陕西南路,29,121.38839023279871,31.122824737234648,121.45564009860006,31.21922548450731
1号线,1号线,宝安公路,陕西南路,12,121.42628965526123,31.371680039785065,121.45564009860006,31.21922548450731
1号线,1号线,富锦路,陕西南路,13,121.42001197737257,31.39407815119172,121.45564009860006,31.21922548450731
1号线,1号线,延长路,陕西南路,36,121.45088832522472,31.273688898052004,121.45564009860006,31.21922548450731
1号线,1号线,彭浦新村,陕西南路,41,121.44409222144392,31.308467802003857,121.45564009860006,31.21922548450731
1号线,1号线,徐家汇,陕西南路,54,121.43372952077296,31.194665740632892,121.45564009860006,31.21922548450731
1号线,1号线,新闸路,陕西南路,21,121.4637517629793,31.240586195331716,121.45564009860006,31.21922548450731
1号线,1号线,汉中路,陕西南路,23,121.45397645386093,31.24359457371127,121.45564009860006,31.21922548450731
1号线,1号线,汶水路,陕西南路,17,121.44554511296896,31.294521946927127,121.45564009860006,31.21922548450731
1号线,1号线,漕宝路,陕西南路,41,121.43029467459823,31.17028964964568,121.45564009860006,31.21922548450731
1号线,1号线,莘庄,陕西南路,92,121.38111623835272,31.112981979578,121.45564009860006,31.21922548450731
1号线,1号线,莲花路,陕西南路,89,121.39814802332572,31.13275059364296,121.45564009860006,31.21922548450731
1号线,1号线,衡山路,陕西南路,15,121.44214620549006,31.20688239224145,121.45564009860006,31.21922548450731
1号线,1号线,通河新村,陕西南路,46,121.436928222904,31.332912780055825,121.45564009860006,31.21922548450731
1号线,1号线,锦江乐园,陕西南路,49,121.40952720905494,31.143868394429962,121.45564009860006,31.21922548450731
1号线,1号线,黄陂南路,陕西南路,39,121.46874002480317,31.224755507253285,121.45564009860006,31.21922548450731
2号线,10号线,徐泾东,陕西南路,13,121.29487927379664,31.19026886327993,121.45564009860006,31.21922548450731
2号线,10号线,虹桥火车站,陕西南路,23,121.31698004097382,31.19592455947813,121.45564009860006,31.21922548450731
2号线,10号线,陆家嘴,陕西南路,16,121.49794977948895,31.240191163422505,121.45564009860006,31.21922548450731
2号线,1号线,陆家嘴,陕西南路,14,121.49794977948895,31.240191163422505,121.45564009860006,31.21922548450731
5号线,1号线,东川路,陕西南路,13,121.41524888440806,31.020241188616282,121.45564009860006,31.21922548450731
5号线,1号线,北桥,陕西南路,12,121.40537045269495,31.04707322588695,121.45564009860006,31.21922548450731
