本站编码,上次过站编号,车牌号码,slon,slat,elon,elat
612,121,4,125.99638577300004,44.99053530400005,124.83180625300008,43.479668133000075
613,121,2,125.91400405000002,44.839689650000025,124.83180625300008,43.479668133000075
614,121,1,125.83823818700012,44.756976622000025,124.83180625300008,43.479668133000075
621,121,3,125.65881252500003,44.53435361900006,124.83180625300008,43.479668133000075
622,121,1,125.41400851800006,44.12989938800007,124.83180625300008,43.479668133000075
711,121,1,124.98930631100006,43.86203878100008,124.83180625300008,43.479668133000075
717,121,32,125.14494475000004,43.86810495000003,124.83180625300008,43.479668133000075
111,122,142,124.4118480410001,43.10218694100007,125.1095093880001,43.68619200400008
112,122,39,124.43832295800007,43.13609680600007,125.1095093880001,43.68619200400008
113,122,4,124.6057803000001,43.30978915000003,125.1095093880001,43.68619200400008
114,122,7,124.5301573700001,43.23501883700004,125.1095093880001,43.68619200400008
121,122,61,124.83180625300008,43.479668133000075,125.1095093880001,43.68619200400008
131,122,127,125.3209912000001,43.7925926,125.1095093880001,43.68619200400008
132,122,62,125.40367465000008,43.832945650000056,125.1095093880001,43.68619200400008
133,122,11,125.45553092300008,43.94948199800007,125.1095093880001,43.68619200400008
134,122,9,125.39053413200008,44.01310719500003,125.1095093880001,43.68619200400008
212,122,9,125.3226954,43.3594368,125.1095093880001,43.68619200400008
232,122,1,125.50120040100012,42.964997082000025,125.1095093880001,43.68619200400008
242,122,1,125.75605742300002,43.046815276000075,125.1095093880001,43.68619200400008
311,122,9,125.44269073300006,43.88860573300008,125.1095093880001,43.68619200400008
312,122,8,125.64987923700005,43.968514371000026,125.1095093880001,43.68619200400008
313,122,3,125.8115129,43.9761267000001,125.1095093880001,43.68619200400008
31A,122,3,125.53931703500007,43.911484846000064,125.1095093880001,43.68619200400008
321,122,6,126.4159946000001,43.8916856000001,125.1095093880001,43.68619200400008
385,122,1,125.75003957700005,42.60196191000006,125.1095093880001,43.68619200400008
411,122,7,125.25600753800006,43.98591059000006,125.1095093880001,43.68619200400008
412,122,2,125.17844416900004,43.930943366000065,125.1095093880001,43.68619200400008
511,122,2,125.30232206200003,43.98087807500008,125.1095093880001,43.68619200400008
513,122,4,125.12127130200008,44.41422188800004,125.1095093880001,43.68619200400008
514,122,1,125.16459091200011,44.4586728,125.1095093880001,43.68619200400008
522,122,5,125.0262523990001,44.84656761400004,125.1095093880001,43.68619200400008
524,122,1,124.5371307260001,45.27445964200007,125.1095093880001,43.68619200400008
542,122,1,122.90041220000012,45.6017131,125.1095093880001,43.68619200400008
591,122,1,124.96698765000008,45.42920945000003,125.1095093880001,43.68619200400008
596,122,1,124.72368478200008,45.16598892400003,125.1095093880001,43.68619200400008
611,122,19,126.11295746700011,45.11385153200007,125.1095093880001,43.68619200400008
622,122,1,125.41400851800006,44.12989938800007,125.1095093880001,43.68619200400008
717,122,7,125.14494475000004,43.86810495000003,125.1095093880001,43.68619200400008
111,131,236,124.4118480410001,43.10218694100007,125.3209912000001,43.7925926
112,131,223,124.43832295800007,43.13609680600007,125.3209912000001,43.7925926
113,131,18,124.6057803000001,43.30978915000003,125.3209912000001,43.7925926
114,131,53,124.5301573700001,43.23501883700004,125.3209912000001,43.7925926
121,131,336,124.83180625300008,43.479668133000075,125.3209912000001,43.7925926
122,131,118,125.1095093880001,43.68619200400008,125.3209912000001,43.7925926
131,131,7,125.3209912000001,43.7925926,125.3209912000001,43.7925926
132,131,44,125.40367465000008,43.832945650000056,125.3209912000001,43.7925926
133,131,41,125.45553092300008,43.94948199800007,125.3209912000001,43.7925926
134,131,6,125.39053413200008,44.01310719500003,125.3209912000001,43.7925926
212,131,743,125.3226954,43.3594368,125.3209912000001,43.7925926
213,131,279,125.30262193400006,43.57254846700005,125.3209912000001,43.7925926
221,131,370,125.16938424400007,42.96104771000006,125.3209912000001,43.7925926
222,131,6,125.24533531700001,43.05603528200004,125.3209912000001,43.7925926
223,131,3,125.30422112500003,43.22071725300003,125.3209912000001,43.7925926
231,131,27,125.47032769400005,43.128101549000064,125.3209912000001,43.7925926
232,131,8,125.50120040100012,42.964997082000025,125.3209912000001,43.7925926
233,131,185,125.56291625100005,42.68225550100004,125.3209912000001,43.7925926
241,131,53,125.5103099,43.18727215000007,125.3209912000001,43.7925926
242,131,93,125.75605742300002,43.046815276000075,125.3209912000001,43.7925926
244,131,133,126.11105144700002,42.70220170600004,125.3209912000001,43.7925926
245,131,1,126.2191815000001,42.63006414500006,125.3209912000001,43.7925926
251,131,14,126.43160545,42.47803645000005,125.3209912000001,43.7925926
252,131,23,126.74025045000008,42.37168875000003,125.3209912000001,43.7925926
254,131,1,127.06894057500006,42.28726589100006,125.3209912000001,43.7925926
255,131,37,127.27065426600007,42.30857574400005,125.3209912000001,43.7925926
256,131,16,127.4246418,42.18310995000007,125.3209912000001,43.7925926
257,131,19,127.5419469840001,42.132698453000046,125.3209912000001,43.7925926
258,131,1,127.60428835200003,42.09473137200007,125.3209912000001,43.7925926
259,131,7,127.28470948600011,42.36702901700005,125.3209912000001,43.7925926
294,131,10,125.77106545000004,41.673053150000044,125.3209912000001,43.7925926
295,131,2,125.52592370800005,41.52195489600007,125.3209912000001,43.7925926
297,131,120,125.86151678500005,41.79211507800005,125.3209912000001,43.7925926
311,131,28,125.44269073300006,43.88860573300008,125.3209912000001,43.7925926
312,131,229,125.64987923700005,43.968514371000026,125.3209912000001,43.7925926
313,131,58,125.8115129,43.9761267000001,125.3209912000001,43.7925926
31A,131,15,125.53931703500007,43.911484846000064,125.3209912000001,43.7925926
321,131,113,126.4159946000001,43.8916856000001,125.3209912000001,43.7925926
33D,131,13,127.67961609000008,42.51734649100007,125.3209912000001,43.7925926
33E,131,2,127.49255739700004,42.43262220100007,125.3209912000001,43.7925926
379,131,23,125.98906661500007,42.96706881600005,125.3209912000001,43.7925926
37A,131,1,125.82228721700005,42.793386256000076,125.3209912000001,43.7925926
37B,131,45,125.64328248300001,42.571517767000046,125.3209912000001,43.7925926
37D,131,2,125.3632918610001,42.348693310000044,125.3209912000001,43.7925926
37E,131,6,125.28489156400008,42.300966050000056,125.3209912000001,43.7925926
381,131,4,125.78149765000012,42.0345816000001,125.3209912000001,43.7925926
383,131,31,125.80804557900001,42.34677105900005,125.3209912000001,43.7925926
384,131,8,125.75093260300002,42.50685652400006,125.3209912000001,43.7925926
385,131,10,125.75003957700005,42.60196191000006,125.3209912000001,43.7925926
391,131,95,126.4736873000001,41.974801350000064,125.3209912000001,43.7925926
392,131,1,126.27115843000001,42.247578522000026,125.3209912000001,43.7925926
393,131,2,126.21020338500011,42.43164050300004,125.3209912000001,43.7925926
397,131,7,126.57924563800009,42.096445593000055,125.3209912000001,43.7925926
399,131,2,126.15362312100001,42.016350198000055,125.3209912000001,43.7925926
412,131,1,125.17844416900004,43.930943366000065,125.3209912000001,43.7925926
522,131,1,125.0262523990001,44.84656761400004,125.3209912000001,43.7925926
531,131,1,124.23775261800006,45.50028848200003,125.3209912000001,43.7925926
574,131,2,123.53722580200008,43.643090862000065,125.3209912000001,43.7925926
593,131,1,124.88730995100002,45.170218057000056,125.3209912000001,43.7925926
611,131,10,126.11295746700011,45.11385153200007,125.3209912000001,43.7925926
612,131,2,125.99638577300004,44.99053530400005,125.3209912000001,43.7925926
613,131,9,125.91400405000002,44.839689650000025,125.3209912000001,43.7925926
621,131,25,125.65881252500003,44.53435361900006,125.3209912000001,43.7925926
622,131,2,125.41400851800006,44.12989938800007,125.3209912000001,43.7925926
711,131,3,124.98930631100006,43.86203878100008,125.3209912000001,43.7925926
712,131,2,124.7935082,43.856899250000026,125.3209912000001,43.7925926
713,131,1,124.60561375000009,43.83293825000004,125.3209912000001,43.7925926
714,131,1,124.42560954100009,43.818770603000075,125.3209912000001,43.7925926
715,131,3,124.14195211000003,43.771561725000026,125.3209912000001,43.7925926
716,131,1,123.86128298900007,43.706779365000045,125.3209912000001,43.7925926
717,131,2,125.14494475000004,43.86810495000003,125.3209912000001,43.7925926
891,131,1,123.56263058700006,43.42447649700006,125.3209912000001,43.7925926
893,131,7,123.63304482900003,43.59561363200004,125.3209912000001,43.7925926
111,132,128,124.4118480410001,43.10218694100007,125.40367465000008,43.832945650000056
112,132,68,124.43832295800007,43.13609680600007,125.40367465000008,43.832945650000056
113,132,5,124.6057803000001,43.30978915000003,125.40367465000008,43.832945650000056
114,132,12,124.5301573700001,43.23501883700004,125.40367465000008,43.832945650000056
121,132,82,124.83180625300008,43.479668133000075,125.40367465000008,43.832945650000056
122,132,59,125.1095093880001,43.68619200400008,125.40367465000008,43.832945650000056
131,132,45,125.3209912000001,43.7925926,125.40367465000008,43.832945650000056
132,132,2,125.40367465000008,43.832945650000056,125.40367465000008,43.832945650000056
133,132,53,125.45553092300008,43.94948199800007,125.40367465000008,43.832945650000056
134,132,34,125.39053413200008,44.01310719500003,125.40367465000008,43.832945650000056
212,132,62,125.3226954,43.3594368,125.40367465000008,43.832945650000056
213,132,15,125.30262193400006,43.57254846700005,125.40367465000008,43.832945650000056
221,132,37,125.16938424400007,42.96104771000006,125.40367465000008,43.832945650000056
222,132,2,125.24533531700001,43.05603528200004,125.40367465000008,43.832945650000056
231,132,5,125.47032769400005,43.128101549000064,125.40367465000008,43.832945650000056
233,132,15,125.56291625100005,42.68225550100004,125.40367465000008,43.832945650000056
241,132,6,125.5103099,43.18727215000007,125.40367465000008,43.832945650000056
242,132,9,125.75605742300002,43.046815276000075,125.40367465000008,43.832945650000056
244,132,16,126.11105144700002,42.70220170600004,125.40367465000008,43.832945650000056
245,132,4,126.2191815000001,42.63006414500006,125.40367465000008,43.832945650000056
251,132,4,126.43160545,42.47803645000005,125.40367465000008,43.832945650000056
252,132,5,126.74025045000008,42.37168875000003,125.40367465000008,43.832945650000056
255,132,9,127.27065426600007,42.30857574400005,125.40367465000008,43.832945650000056
256,132,3,127.4246418,42.18310995000007,125.40367465000008,43.832945650000056
257,132,1,127.5419469840001,42.132698453000046,125.40367465000008,43.832945650000056
294,132,2,125.77106545000004,41.673053150000044,125.40367465000008,43.832945650000056
297,132,14,125.86151678500005,41.79211507800005,125.40367465000008,43.832945650000056
311,132,34,125.44269073300006,43.88860573300008,125.40367465000008,43.832945650000056
312,132,1016,125.64987923700005,43.968514371000026,125.40367465000008,43.832945650000056
313,132,170,125.8115129,43.9761267000001,125.40367465000008,43.832945650000056
31A,132,21,125.53931703500007,43.911484846000064,125.40367465000008,43.832945650000056
321,132,338,126.4159946000001,43.8916856000001,125.40367465000008,43.832945650000056
33D,132,2,127.67961609000008,42.51734649100007,125.40367465000008,43.832945650000056
379,132,2,125.98906661500007,42.96706881600005,125.40367465000008,43.832945650000056
37B,132,6,125.64328248300001,42.571517767000046,125.40367465000008,43.832945650000056
37C,132,2,125.46131576200003,42.48591253700005,125.40367465000008,43.832945650000056
37D,132,1,125.3632918610001,42.348693310000044,125.40367465000008,43.832945650000056
383,132,8,125.80804557900001,42.34677105900005,125.40367465000008,43.832945650000056
384,132,4,125.75093260300002,42.50685652400006,125.40367465000008,43.832945650000056
385,132,1,125.75003957700005,42.60196191000006,125.40367465000008,43.832945650000056
391,132,9,126.4736873000001,41.974801350000064,125.40367465000008,43.832945650000056
393,132,1,126.21020338500011,42.43164050300004,125.40367465000008,43.832945650000056
411,132,5,125.25600753800006,43.98591059000006,125.40367465000008,43.832945650000056
412,132,9,125.17844416900004,43.930943366000065,125.40367465000008,43.832945650000056
512,132,1,125.16413452500001,44.16457268000005,125.40367465000008,43.832945650000056
513,132,2,125.12127130200008,44.41422188800004,125.40367465000008,43.832945650000056
531,132,1,124.23775261800006,45.50028848200003,125.40367465000008,43.832945650000056
574,132,3,123.53722580200008,43.643090862000065,125.40367465000008,43.832945650000056
591,132,3,124.96698765000008,45.42920945000003,125.40367465000008,43.832945650000056
594,132,2,124.8500190100001,45.09731913300004,125.40367465000008,43.832945650000056
611,132,31,126.11295746700011,45.11385153200007,125.40367465000008,43.832945650000056
612,132,4,125.99638577300004,44.99053530400005,125.40367465000008,43.832945650000056
613,132,33,125.91400405000002,44.839689650000025,125.40367465000008,43.832945650000056
614,132,2,125.83823818700012,44.756976622000025,125.40367465000008,43.832945650000056
621,132,45,125.65881252500003,44.53435361900006,125.40367465000008,43.832945650000056
622,132,9,125.41400851800006,44.12989938800007,125.40367465000008,43.832945650000056
711,132,3,124.98930631100006,43.86203878100008,125.40367465000008,43.832945650000056
712,132,4,124.7935082,43.856899250000026,125.40367465000008,43.832945650000056
713,132,4,124.60561375000009,43.83293825000004,125.40367465000008,43.832945650000056
714,132,1,124.42560954100009,43.818770603000075,125.40367465000008,43.832945650000056
715,132,2,124.14195211000003,43.771561725000026,125.40367465000008,43.832945650000056
716,132,2,123.86128298900007,43.706779365000045,125.40367465000008,43.832945650000056
717,132,4,125.14494475000004,43.86810495000003,125.40367465000008,43.832945650000056
893,132,11,123.63304482900003,43.59561363200004,125.40367465000008,43.832945650000056
111,133,164,124.4118480410001,43.10218694100007,125.45553092300008,43.94948199800007
112,133,14,124.43832295800007,43.13609680600007,125.45553092300008,43.94948199800007
113,133,2,124.6057803000001,43.30978915000003,125.45553092300008,43.94948199800007
114,133,2,124.5301573700001,43.23501883700004,125.45553092300008,43.94948199800007
121,133,9,124.83180625300008,43.479668133000075,125.45553092300008,43.94948199800007
122,133,27,125.1095093880001,43.68619200400008,125.45553092300008,43.94948199800007
131,133,40,125.3209912000001,43.7925926,125.45553092300008,43.94948199800007
132,133,48,125.40367465000008,43.832945650000056,125.45553092300008,43.94948199800007
134,133,11,125.39053413200008,44.01310719500003,125.45553092300008,43.94948199800007
212,133,7,125.3226954,43.3594368,125.45553092300008,43.94948199800007
213,133,5,125.30262193400006,43.57254846700005,125.45553092300008,43.94948199800007
221,133,12,125.16938424400007,42.96104771000006,125.45553092300008,43.94948199800007
242,133,4,125.75605742300002,43.046815276000075,125.45553092300008,43.94948199800007
244,133,4,126.11105144700002,42.70220170600004,125.45553092300008,43.94948199800007
245,133,2,126.2191815000001,42.63006414500006,125.45553092300008,43.94948199800007
294,133,1,125.77106545000004,41.673053150000044,125.45553092300008,43.94948199800007
297,133,4,125.86151678500005,41.79211507800005,125.45553092300008,43.94948199800007
311,133,9,125.44269073300006,43.88860573300008,125.45553092300008,43.94948199800007
312,133,114,125.64987923700005,43.968514371000026,125.45553092300008,43.94948199800007
313,133,10,125.8115129,43.9761267000001,125.45553092300008,43.94948199800007
31A,133,3,125.53931703500007,43.911484846000064,125.45553092300008,43.94948199800007
321,133,76,126.4159946000001,43.8916856000001,125.45553092300008,43.94948199800007
37B,133,1,125.64328248300001,42.571517767000046,125.45553092300008,43.94948199800007
37D,133,1,125.3632918610001,42.348693310000044,125.45553092300008,43.94948199800007
385,133,2,125.75003957700005,42.60196191000006,125.45553092300008,43.94948199800007
391,133,4,126.4736873000001,41.974801350000064,125.45553092300008,43.94948199800007
393,133,13,126.21020338500011,42.43164050300004,125.45553092300008,43.94948199800007
397,133,1,126.57924563800009,42.096445593000055,125.45553092300008,43.94948199800007
411,133,2,125.25600753800006,43.98591059000006,125.45553092300008,43.94948199800007
412,133,1,125.17844416900004,43.930943366000065,125.45553092300008,43.94948199800007
574,133,1,123.53722580200008,43.643090862000065,125.45553092300008,43.94948199800007
611,133,37,126.11295746700011,45.11385153200007,125.45553092300008,43.94948199800007
612,133,1,125.99638577300004,44.99053530400005,125.45553092300008,43.94948199800007
613,133,8,125.91400405000002,44.839689650000025,125.45553092300008,43.94948199800007
614,133,1,125.83823818700012,44.756976622000025,125.45553092300008,43.94948199800007
621,133,6,125.65881252500003,44.53435361900006,125.45553092300008,43.94948199800007
622,133,1,125.41400851800006,44.12989938800007,125.45553092300008,43.94948199800007
711,133,1,124.98930631100006,43.86203878100008,125.45553092300008,43.94948199800007
715,133,2,124.14195211000003,43.771561725000026,125.45553092300008,43.94948199800007
717,133,8,125.14494475000004,43.86810495000003,125.45553092300008,43.94948199800007
891,133,1,123.56263058700006,43.42447649700006,125.45553092300008,43.94948199800007
111,134,363,124.4118480410001,43.10218694100007,125.39053413200008,44.01310719500003
112,134,12,124.43832295800007,43.13609680600007,125.39053413200008,44.01310719500003
113,134,6,124.6057803000001,43.30978915000003,125.39053413200008,44.01310719500003
114,134,8,124.5301573700001,43.23501883700004,125.39053413200008,44.01310719500003
121,134,8,124.83180625300008,43.479668133000075,125.39053413200008,44.01310719500003
122,134,25,125.1095093880001,43.68619200400008,125.39053413200008,44.01310719500003
131,134,14,125.3209912000001,43.7925926,125.39053413200008,44.01310719500003
132,134,24,125.40367465000008,43.832945650000056,125.39053413200008,44.01310719500003
133,134,10,125.45553092300008,43.94948199800007,125.39053413200008,44.01310719500003
212,134,3,125.3226954,43.3594368,125.39053413200008,44.01310719500003
213,134,1,125.30262193400006,43.57254846700005,125.39053413200008,44.01310719500003
221,134,3,125.16938424400007,42.96104771000006,125.39053413200008,44.01310719500003
222,134,1,125.24533531700001,43.05603528200004,125.39053413200008,44.01310719500003
233,134,4,125.56291625100005,42.68225550100004,125.39053413200008,44.01310719500003
295,134,1,125.52592370800005,41.52195489600007,125.39053413200008,44.01310719500003
297,134,1,125.86151678500005,41.79211507800005,125.39053413200008,44.01310719500003
311,134,4,125.44269073300006,43.88860573300008,125.39053413200008,44.01310719500003
312,134,7,125.64987923700005,43.968514371000026,125.39053413200008,44.01310719500003
313,134,1,125.8115129,43.9761267000001,125.39053413200008,44.01310719500003
31A,134,1,125.53931703500007,43.911484846000064,125.39053413200008,44.01310719500003
321,134,14,126.4159946000001,43.8916856000001,125.39053413200008,44.01310719500003
37B,134,2,125.64328248300001,42.571517767000046,125.39053413200008,44.01310719500003
391,134,2,126.4736873000001,41.974801350000064,125.39053413200008,44.01310719500003
611,134,16,126.11295746700011,45.11385153200007,125.39053413200008,44.01310719500003
612,134,13,125.99638577300004,44.99053530400005,125.39053413200008,44.01310719500003
613,134,31,125.91400405000002,44.839689650000025,125.39053413200008,44.01310719500003
614,134,2,125.83823818700012,44.756976622000025,125.39053413200008,44.01310719500003
621,134,48,125.65881252500003,44.53435361900006,125.39053413200008,44.01310719500003
622,134,13,125.41400851800006,44.12989938800007,125.39053413200008,44.01310719500003
711,134,1,124.98930631100006,43.86203878100008,125.39053413200008,44.01310719500003
717,134,11,125.14494475000004,43.86810495000003,125.39053413200008,44.01310719500003
891,134,2,123.56263058700006,43.42447649700006,125.39053413200008,44.01310719500003
111,213,5,124.4118480410001,43.10218694100007,125.30262193400006,43.57254846700005
112,213,1,124.43832295800007,43.13609680600007,125.30262193400006,43.57254846700005
114,213,1,124.5301573700001,43.23501883700004,125.30262193400006,43.57254846700005
122,213,1,125.1095093880001,43.68619200400008,125.30262193400006,43.57254846700005
131,213,320,125.3209912000001,43.7925926,125.30262193400006,43.57254846700005
132,213,23,125.40367465000008,43.832945650000056,125.30262193400006,43.57254846700005
133,213,2,125.45553092300008,43.94948199800007,125.30262193400006,43.57254846700005
134,213,1,125.39053413200008,44.01310719500003,125.30262193400006,43.57254846700005
212,213,33,125.3226954,43.3594368,125.30262193400006,43.57254846700005
221,213,2,125.16938424400007,42.96104771000006,125.30262193400006,43.57254846700005
241,213,2,125.5103099,43.18727215000007,125.30262193400006,43.57254846700005
242,213,1,125.75605742300002,43.046815276000075,125.30262193400006,43.57254846700005
297,213,2,125.86151678500005,41.79211507800005,125.30262193400006,43.57254846700005
311,213,7,125.44269073300006,43.88860573300008,125.30262193400006,43.57254846700005
312,213,2,125.64987923700005,43.968514371000026,125.30262193400006,43.57254846700005
321,213,3,126.4159946000001,43.8916856000001,125.30262193400006,43.57254846700005
37B,213,1,125.64328248300001,42.571517767000046,125.30262193400006,43.57254846700005
412,213,1,125.17844416900004,43.930943366000065,125.30262193400006,43.57254846700005
